GPU 0: NVIDIA GeForce RTX 3050 Laptop GPU with 4095.5 MB memory
Using device: cuda


=== [1/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png ===

--- Original Prediction Results ---
Predicted class: 4 (adware)

Confidence     : 0.4133

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7747 with confidence 0.3065!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7747 with confidence 0.3065

Benign probability changes (iteration, prob):
Iteration 5884: Benign prob = 0.2092
Iteration 5887: Benign prob = 0.2102
Iteration 5940: Benign prob = 0.2121
Iteration 6096: Benign prob = 0.2164
Iteration 6130: Benign prob = 0.2178
Iteration 6279: Benign prob = 0.2191
Iteration 6309: Benign prob = 0.2214
Iteration 6354: Benign prob = 0.2258
Iteration 6360: Benign prob = 0.2259
Iteration 6389: Benign prob = 0.2265
Iteration 6434: Benign prob = 0.2295
Iteration 6482: Benign prob = 0.2320
Iteration 6484: Benign prob = 0.2330
Iteration 6515: Benign prob = 0.2348
Iteration 6589: Benign prob = 0.2359
Iteration 6613: Benign prob = 0.2364
Iteration 6628: Benign prob = 0.2371
Iteration 6698: Benign prob = 0.2385
Iteration 6714: Benign prob = 0.2394
Iteration 6747: Benign prob = 0.2426
Iteration 6752: Benign prob = 0.2442
Iteration 6759: Benign prob = 0.2508
Iteration 6865: Benign prob = 0.2510
Iteration 6880: Benign prob = 0.2523
Iteration 6973: Benign prob = 0.2557
Iteration 7046: Benign prob = 0.2590
Iteration 7066: Benign prob = 0.2612
Iteration 7100: Benign prob = 0.2634
Iteration 7184: Benign prob = 0.2667
Iteration 7275: Benign prob = 0.2682
Iteration 7385: Benign prob = 0.2689
Iteration 7402: Benign prob = 0.2707
Iteration 7411: Benign prob = 0.2727
Iteration 7453: Benign prob = 0.2738
Iteration 7479: Benign prob = 0.2791
Iteration 7502: Benign prob = 0.2824
Iteration 7630: Benign prob = 0.2825
Iteration 7664: Benign prob = 0.2887
Iteration 7693: Benign prob = 0.2937
Iteration 7747: Benign prob = 0.3065
Iteration 7838: Benign prob = 0.3079
Iteration 7845: Benign prob = 0.3097
Iteration 7846: Benign prob = 0.3124
Iteration 7881: Benign prob = 0.3132
Iteration 7967: Benign prob = 0.3165
Iteration 8018: Benign prob = 0.3188
Iteration 8030: Benign prob = 0.3197
Iteration 8034: Benign prob = 0.3239
Iteration 8040: Benign prob = 0.3271
Iteration 8050: Benign prob = 0.3280
Iteration 8071: Benign prob = 0.3335
Iteration 8106: Benign prob = 0.3441
Iteration 8187: Benign prob = 0.3472
Iteration 8197: Benign prob = 0.3475
Iteration 8220: Benign prob = 0.3485
Iteration 8230: Benign prob = 0.3520
Iteration 8239: Benign prob = 0.3540
Iteration 8319: Benign prob = 0.3549
Iteration 8356: Benign prob = 0.3614
Iteration 8368: Benign prob = 0.3699
Iteration 8448: Benign prob = 0.3719
Iteration 8502: Benign prob = 0.3728
Iteration 8509: Benign prob = 0.3746
Iteration 8583: Benign prob = 0.3765
Iteration 8584: Benign prob = 0.3850
Iteration 8640: Benign prob = 0.3852
Iteration 8678: Benign prob = 0.3869
Iteration 8703: Benign prob = 0.3913
Iteration 8745: Benign prob = 0.3953
Iteration 8786: Benign prob = 0.4015
Iteration 8796: Benign prob = 0.4022
Iteration 8803: Benign prob = 0.4026
Iteration 8823: Benign prob = 0.4046
Iteration 8830: Benign prob = 0.4064
Iteration 8881: Benign prob = 0.4097
Iteration 8883: Benign prob = 0.4140
Iteration 8946: Benign prob = 0.4149
Iteration 8951: Benign prob = 0.4197
Iteration 9018: Benign prob = 0.4343
Iteration 9061: Benign prob = 0.4415
Iteration 9139: Benign prob = 0.4465
Iteration 9305: Benign prob = 0.4477
Iteration 9309: Benign prob = 0.4501
Iteration 9323: Benign prob = 0.4536
Iteration 9509: Benign prob = 0.4555
Iteration 9589: Benign prob = 0.4688
Iteration 9601: Benign prob = 0.4689
Iteration 9631: Benign prob = 0.4798
Iteration 9681: Benign prob = 0.4801
Iteration 9698: Benign prob = 0.4830
Iteration 9700: Benign prob = 0.4834
Iteration 9717: Benign prob = 0.4889
Iteration 9779: Benign prob = 0.4898
Iteration 9851: Benign prob = 0.4922
Iteration 9854: Benign prob = 0.4926
Iteration 9889: Benign prob = 0.4932
Iteration 9956: Benign prob = 0.4946
Iteration 9980: Benign prob = 0.4960
Iteration 9988: Benign prob = 0.5018

 Completed Adversarial Image for image 1 in 37.22 minutes.

--- Adversarial Prediction Results for image 1: (D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png) ---
Predicted class: 4 (adware)
Confidence     : 0.4133
True class     : 0 (addisplay)


=== [2/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adshell\4B8792F5008FA7C2C025B083C20900D7C8C3FE627D0742DD4A6BEF04CAA717F3.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.3859

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7830 with confidence 0.2978!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7830 with confidence 0.2978

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0005
